Zipcode,year,POPULATION,CARE_PROPORTION,FOOD_PROPORTION,GYM_PROPORTION,HOUSING_RATE,Income,PHARMACY_PROPORTION,POP_18_24_BACH,POP_18_24_CS_AS,POP_18_24_HS,POP_18_24_LT_HS,POP_18_24_TOTAL,POP_25OVER_9_12_NODIP,POP_25OVER_ASSOC,POP_25OVER_BACH,POP_25OVER_GRAD_PRO,POP_25OVER_HS,POP_25OVER_LT_9TH,POP_25OVER_SOME_COL,POP_25OVER_TOTAL,RESTAURANT_PROPORTION,TOT_HISP_LATINO,TOT_NOT_HISP_AIAN,TOT_NOT_HISP_ASIAN,TOT_NOT_HISP_BLACK,TOT_NOT_HISP_NHPI,TOT_NOT_HISP_OTHER_RACE,TOT_NOT_HISP_WHITE,gyms,pharmacy,restaurant,total_sum_care,total_sum_food,PROP_18_24_LT_HS,PROP_18_24_HS,PROP_18_24_CS_AS,PROP_18_24_BACH,Education_Level,POP_18_24_LT_HS_PROP,POP_18_24_HS_PROP,POP_18_24_CS_AS_PROP,POP_18_24_BACH_PROP,Lower_Education_18_24,Medium_Education_18_24,Higher_Education_18_24,Lower_Education_18_24_PROP,Medium_Education_18_24_PROP,Higher_Education_18_24_PROP,POP_25OVER_LT_9TH_PROP,POP_25OVER_9_12_NODIP_PROP,POP_25OVER_HS_PROP,POP_25OVER_SOME_COL_PROP,POP_25OVER_ASSOC_PROP,POP_25OVER_BACH_PROP,POP_25OVER_GRAD_PRO_PROP,Lower_Education,Medium_Education,Higher_Education,Lower_Education_PROP,Medium_Education_PROP,Higher_Education_PROP,RACE_TOTAL,TOT_HISP_LATINO_PROP,TOT_NOT_HISP_WHITE_PROP,TOT_NOT_HISP_BLACK_PROP,TOT_NOT_HISP_AIAN_PROP,TOT_NOT_HISP_ASIAN_PROP,TOT_NOT_HISP_NHPI_PROP,TOT_NOT_HISP_OTHER_RACE_PROP,Income_Bin,Income_Low,Income_Medium,Income_High,HOUSING_RATE_Bin,HOUSING_RATE_Low,HOUSING_RATE_Medium,HOUSING_RATE_High,Income_Low,Income_Medium,Income_High,HOUSING_RATE_bin,HOUSING_RATE_Low,HOUSING_RATE_Medium,HOUSING_RATE_High
46202,2015,20688,0.000531709,1.889883468,0,0.514986184,-0.700049462,9.67E-05,15.17647059,4.719602978,0.776699029,1.7960199,3.362204724,1.520499109,0.478775226,2.402333621,3.894091904,0.410468061,1.07063197,0.966776931,1.096374731,4.399071926,2.054755043,1.043478261,18.8019802,12.82262211,0.5,2.955555556,1.015323559,0,2,9,11,4,0.534179221,0.231008845,1.403722665,4.513844882,Bachelor's Degree or Higher,0.534179221,0.231008845,1.403722665,4.513844882,1.7960199,5.496302007,15.17647059,0.534179221,1.63473151,4.513844882,0.976520108,1.386842533,0.374386649,0.881794248,0.436689403,2.191161064,3.551789178,2.591131079,1.377244992,6.775200751,2.363362641,1.256180896,6.179639644,39.19371472,0.052425626,0.025905265,0.327160163,0.026623612,0.47971927,0.012757148,0.075408916,Low,1,0,0,Medium,0,1,0,TRUE,FALSE,FALSE,Medium,FALSE,TRUE,FALSE
47031,2015,5422,0,0,0,-0.099495185,-0.498669242,0,-0.117647059,0.138957816,0.238187702,-0.069651741,0.099737533,0.294117647,0.025052192,-0.015125324,-0.093654267,0.338429791,0.237918216,0.102114195,0.138250778,0,-0.053314121,-0.173913043,0.138613861,-0.010282776,-0.25,-0.044444444,0.154889207,0,0,0,0,0,-0.698350353,2.38814512,1.393234948,-1.179566563,High School,-0.698350353,2.38814512,1.393234948,-1.179566563,-0.069651741,0.377145519,-0.117647059,-0.698350353,3.781380068,-1.179566563,1.720917738,2.127421284,2.447941317,0.738615703,0.181208327,-0.109404984,-0.677423075,0.532035863,0.440543986,-0.083727399,3.848339022,3.18655702,-0.605619732,-0.238451317,0.22358493,-0.64956323,0.043123169,0.729344027,-0.581308853,1.048432039,0.186387918,Low,1,0,0,Medium,0,1,0,TRUE,FALSE,FALSE,Medium,FALSE,TRUE,FALSE
47025,2015,23301,4.29E-05,0.629231189,0,0.206919964,0.556233366,0,1.176470588,2.014888337,0.869902913,2.124378109,1.456692913,1.188948307,1.631176061,1.668539326,1.611378556,1.898133383,1.249070632,1.524809435,1.511785116,0.433972791,0.397694524,0.782608696,1.118811881,0.470437018,0.75,1.733333333,1.966596847,0,0,1,1,1.5,1.458356864,0.597176594,1.383193615,0.807631161,Less than High School,1.458356864,0.597176594,1.383193615,0.807631161,2.124378109,2.88479125,1.176470588,1.458356864,1.98037021,0.807631161,0.826222337,0.786453243,1.25555766,1.008615192,1.078973489,1.103688155,1.06587804,2.438018939,3.422942818,4.911093943,1.61267558,2.264172852,3.248539684,7.2194823,0.055086294,0.272401367,0.065162154,0.108402329,0.154971206,0.103885565,0.240091084,High,0,0,1,Medium,0,1,0,FALSE,FALSE,TRUE,Medium,FALSE,TRUE,FALSE
46203,2015,36544,0,0.267471467,0,-1.204242849,-1.347339661,0,2.952941176,2.089330025,2.534627832,5.373134328,2.748906387,8.718360071,1.426583159,1.870786517,1.212253829,3.025982553,6.565055762,2.27326334,2.686707346,1.798598949,7.943804035,5.217391304,3.653465347,12.77892031,2.25,4.8,2.369529269,0,0,6.5,0,1,1.954644347,0.922049526,0.760058631,1.074223986,Less than High School,1.954644347,0.922049526,0.760058631,1.074223986,5.373134328,4.623957857,2.952941176,1.954644347,1.682108157,1.074223986,2.443532144,3.244998039,1.126279182,0.846114983,0.530978248,0.696311982,0.451204271,15.28341583,5.299245893,4.509623506,5.688530183,1.972394165,1.678494501,39.01311026,0.203618834,0.060736743,0.327554512,0.133734308,0.093647118,0.05767292,0.123035563,Low,1,0,0,Low,1,0,0,TRUE,FALSE,FALSE,Low,TRUE,FALSE,FALSE
47111,2015,18144,5.51E-05,0,0,0.206731194,-0.035047224,0,0.058823529,1.052109181,0.838834951,0.875621891,0.804024497,1.201426025,1.245650661,0.841400173,0.66083151,0.960135072,1.609665428,0.96159931,0.895369706,0.278659612,1.113832853,0.652173913,1.099009901,1.061696658,1.25,1.111111111,1.228640723,0,0,0.5,1,0,1.089048771,1.043295266,1.308553639,0.073161365,Some College/Associate Degree,1.089048771,1.043295266,1.308553639,0.073161365,0.875621891,1.890944133,0.058823529,1.089048771,2.351848905,0.073161365,1.797766238,1.341821169,1.072333658,1.073969002,1.391213767,0.939723745,0.738054354,2.811091452,1.921734381,2.747882344,3.139587407,2.14630266,3.068991866,7.516465159,0.148185727,0.163459911,0.141249462,0.08676604,0.146213663,0.166301576,0.147823623,Medium,0,1,0,Medium,0,1,0,FALSE,TRUE,FALSE,Medium,FALSE,TRUE,FALSE
47112,2015,16935,5.90E-05,0.288588051,0,-0.111262612,-0.369220623,0,0.741176471,0.617866005,1.348867314,1.074626866,0.909011374,1.411764706,0.957550452,0.807692308,1.18249453,1.351843167,1.260223048,1.120379692,1.06239531,0,0.685878963,1.130434783,0.97029703,0.249357326,1.5,1.088888889,1.362473818,0,0,0,1,0.5,1.182192981,1.483883869,0.679712073,0.815365453,High School,1.182192981,1.483883869,0.679712073,0.815365453,1.074626866,1.966733319,0.741176471,1.182192981,2.163595942,0.815365453,1.18620916,1.328850657,1.272448357,1.054578914,0.901312763,0.760255905,1.113045698,2.671987754,2.472222859,2.94773729,2.515059818,2.327027271,2.774614366,6.987330808,0.098160368,0.19499203,0.035687065,0.161783493,0.138865191,0.21467425,0.155837604,Low,1,0,0,Medium,0,1,0,TRUE,FALSE,FALSE,Medium,FALSE,TRUE,FALSE
46173,2015,10449,9.57E-05,0,0,-0.682916621,-0.69270085,0,0.247058824,0.789081886,0.621359223,0.328358209,0.555555556,0.921568627,0.282533055,0.30812446,0.597811816,0.9443767,0.881040892,0.419099669,0.574359895,0,0.110951009,-0.043478261,0.405940594,0.146529563,0.25,0.333333333,0.713151802,0,0,0,1,0,0.591044776,1.118446602,1.420347395,0.444705882,Some College/Associate Degree,0.591044776,1.118446602,1.420347395,0.444705882,0.328358209,1.410441109,0.247058824,0.591044776,2.538793996,0.444705882,1.533952667,1.604514236,1.644224656,0.729681291,0.491909441,0.536465834,1.040831405,1.80260952,1.363476369,1.188469331,3.138466902,2.373905946,2.06920668,1.916428041,0.057894691,0.372125531,0.076459726,-0.022687135,0.211821464,0.130451024,0.173934698,Low,1,0,0,Low,1,0,0,TRUE,FALSE,FALSE,Low,TRUE,FALSE,FALSE
47130,2015,48599,4.12E-05,0.20112507,0,-0.349575783,-0.242739713,4.12E-05,2.023529412,3.156327543,3.2802589,3.641791045,3.003499563,3.980392157,4.040361865,3.678046672,3.353172867,3.496857706,4.014869888,4.109592981,3.439877961,1.352455812,4.144092219,4.260869565,6.95049505,17.53213368,23.5,5.777777778,3.417153566,0,2,6.5,2,1,1.212515923,1.092145623,1.050883304,0.673723891,Less than High School,1.212515923,1.092145623,1.050883304,0.673723891,3.641791045,6.436586443,2.023529412,1.212515923,2.143028926,0.673723891,1.167154746,1.157131794,1.016564467,1.194691506,1.174565467,1.069237547,0.974794136,7.995262045,7.606450687,11.0715814,2.32428654,2.211255973,3.21859715,65.58252185,0.063188973,0.052104638,0.267329361,0.06496959,0.105980905,0.358327178,0.088099354,Medium,0,1,0,Low,1,0,0,FALSE,TRUE,FALSE,Low,TRUE,FALSE,FALSE
46176,2015,28727,6.96E-05,0.680508044,0,-0.556231083,-0.468615305,0,1.164705882,1.930521092,1.861488673,2.492537313,1.825896763,3.233511586,1.521224774,1.13872083,1.695404814,2.640277648,2.074349442,1.887818208,1.910684374,0.176001671,2.831412104,1.565217391,2.841584158,1.151670951,0.5,1.266666667,2.322676662,0,0,0.5,2,2,1.36510309,1.019492838,1.057300243,0.637881564,Less than High School,1.36510309,1.019492838,1.057300243,0.637881564,2.492537313,3.792009765,1.164705882,1.36510309,2.076793082,0.637881564,1.085657825,1.692331622,1.381849186,0.988032473,0.796167486,0.595975371,0.88732856,5.307861029,4.528095855,4.355350418,2.777989447,2.369881659,2.279471417,12.47922793,0.226890006,0.186123426,0.092287035,0.12542582,0.227705125,0.040066581,0.101502006,Low,1,0,0,Low,1,0,0,TRUE,FALSE,FALSE,Low,TRUE,FALSE,FALSE
47129,2015,19617,0,0.747398478,0,-0.753429702,-1.038321125,0,1.658823529,1.729528536,1.16763754,1.582089552,1.39720035,2.559714795,1.242867084,1.292566984,0.552297593,1.459900572,2.817843866,1.340716238,1.318437425,2.319620737,3.615273775,1.869565217,1.415841584,3.889460154,1.25,1.311111111,1.186528497,0,0,4.5,0,1.5,1.13232834,0.835698002,1.237852922,1.187248149,Some College/Associate Degree,1.13232834,0.835698002,1.237852922,1.187248149,1.582089552,2.897166076,1.658823529,1.13232834,2.073550924,1.187248149,2.137260224,1.941476134,1.107296064,1.016897891,0.94268189,0.980377953,0.418903152,5.377558661,2.80061681,3.087731661,4.078736357,2.124193956,2.341962995,14.53778034,0.248681277,0.081616895,0.267541541,0.128600459,0.097390492,0.085982865,0.090186471,Low,1,0,0,Low,1,0,0,TRUE,FALSE,FALSE,Low,TRUE,FALSE,FALSE
